ConcurrentLinkedDeque.ConcurrentLinkedDeque()	Constructs an empty deque
AbstractQueuedLongSynchronizer.ConditionObject.AbstractQueuedLongSynchronizer.ConditionObject()	Creates a new ConditionObject instance
GregorianCalendar.GregorianCalendar(TimeZone)	Constructs a GregorianCalendar based on the current time in the given time zone with the default locale
MissingFormatArgumentException.getFormatSpecifier()	Returns the unmatched format specifier
LinkedBlockingQueue.toArray()	Returns an array containing all of the elements in this queue in proper sequence
ThreadPoolExecutor.allowCoreThreadTimeOut(boolean)	Sets the policy governing whether core threads may time out and terminate if no tasks arrive within the keep alive time being replaced if needed when new tasks arrive When false core threads are never terminated due to lack of incoming tasks When true the same keep alive policy applying to non core threads applies also to core threads To avoid continual thread replacement the keep alive time must be greater than zero when setting true This method should in general be called before the pool is actively used
Arrays.toString(Object[])	Returns a string representation of the contents of the specified array
BrokenBarrierException.BrokenBarrierException(String)	Constructs a BrokenBarrierException with the specified detail message
Preferences.removeNode()	Removes this preference node and all of its descendants invalidating any preferences contained in the removed nodes Once a node has been removed attempting any method other than name absolutePath isUserNode flush or nodeExists on the corresponding Preferences instance will fail with an IllegalStateException The methods defined on Object can still be invoked on a node after it has been removed they will not throw IllegalStateException The removal is not guaranteed to be persistent until the flush method is called on this node or an ancestor
ArrayBlockingQueue.size()	Returns the number of elements in this queue
Arrays.toString(float[])	Returns a string representation of the contents of the specified array
IdentityHashMap.size()	Returns the number of key value mappings in this identity hash map
Calendar.hashCode()	Returns a hash code for this calendar
ForkJoinTask.getPool()	Returns the pool hosting the current task execution or null if this task is executing outside of any ForkJoinPool
Calendar.getDisplayNames(int,int,Locale)	Returns a Map containing all names of the calendar field in the given style and locale and their corresponding field values For example if this Calendar is a GregorianCalendar the returned map would contain Jan to JANUARY Feb to FEBRUARY and so on in the short style in an English locale
Formatter.Formatter(String,String)	Constructs a new formatter with the specified file name and charset
BlockingDeque.removeFirstOccurrence(Object)	Removes the first occurrence of the specified element from this deque
Arrays.toString(long[])	Returns a string representation of the contents of the specified array
ThreadPoolExecutor.toString()	Returns a string identifying this pool as well as its state including indications of run state and estimated worker and task counts
AtomicBoolean.lazySet(boolean)	Eventually sets to the given value
Date.getSeconds()	Returns the number of seconds past the minute represented by this date
EnumMap.values()	Returns a Collection view of the values contained in this map
Vector.Vector(int)	Constructs an empty vector with the specified initial capacity and with its capacity increment equal to zero
TimeoutException.TimeoutException()	Constructs a TimeoutException with no specified detail message
RejectedExecutionException.RejectedExecutionException()	Constructs a RejectedExecutionException with no detail message
Preferences.putLong(String,long)	Associates a string representing the specified long value with the specified key in this preference node The associated string is the one that would be returned if the long value were passed to Long toString long This method is intended for use in conjunction with getLong java lang String long
